건강증진센터명,건강증진센터구분,소재지도로명주소,소재지지번주소,위도,경도,건강증진업무내용,운영시작시각,운영종료시각,휴무일정보,건물면적,의사수,간호사수,사회복지사수,영양사수,기타인력현황,기타이용안내,운영기관전화번호,운영기관명,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
양주시 동부 건강생활지원센터,건강증진,경기도 양주시 화합로1426번길 90,경기도 양주시 덕정동 206,37.83814235,127.0680351,통합건강증진사업 업무,09:00,18:00,매주토요일+매주일요일+공휴일,825,0,2,0,1,5,,031-8082-4341,양주시보건소,031-8082-7117,양주시보건소,2022-05-04,5590000,경기도 양주시
양주시 서부 건강생활지원센터,건강증진,경기도 양주시 광적면 부흥로 618번길 303,경기도 양주시 광적면 광석리 132,37.81249951,126.9723084,통합건강증진사업 업무,09:00,18:00,매주토요일+매주일요일+공휴일,908,0,2,0,1,2,,031-8082-4372,양주시보건소,031-8082-7117,양주시보건소,2022-05-04,5590000,경기도 양주시
수원시행복정신건강복지센터,정신보건,경기도 수원시 장안구 송원로 101,경기도 수원시 장안구 조원동 888,37.30402833,127.0103129,수원시마음건강 지원 사업 생애주기별 정신건강증진 및 질환예방사업 등 수원시 정신건강 비젼 및 계획수립,09:00,18:00,매주 토요일+일요일+공휴일,101,1,4,12,,기타(2),,031-253-5737,장안구보건소,031-228-5907,경기도 수원시 장안구보건소,2022-05-02,3740000,경기도 수원시
수원시아동청소년정신건강복지센터,정신보건,경기도 수원시 팔달구 동말로47번길 17,경기도 수원시 팔달구 화서동 134-3,37.27939629,126.9993939,지역 내 아동 청소년 정신보건사업 기획 조기중재사업 평가사업,09:00,18:00,매주 토요일+일요일+공휴일,574,1,2,6,,기타(2),,031-242-5738,장안구보건소,031-228-5920,경기도 수원시 장안구보건소,2022-05-02,3740000,경기도 수원시
수원시성인정신건강복지센터,정신보건,경기도 수원시 팔달구 매산로 89,경기도 수원시 팔달구 매산로3가 43-1,37.27049849,127.0106742,중증정신 질환 관리 정신건강 증진사업,09:00,18:00,매주 토요일+일요일+공휴일,222,1,7,8,,임상심리사(2)+작업치료사(3)+기타(1),,031-247-0888,장안구보건소,031-228-5920,경기도 수원시 장안구보건소,2022-05-02,3740000,경기도 수원시
수원시자살예방센터,정신보건,경기도 수원시 팔달구 동말로47번길 17,경기도 수원시 팔달구 화서동 134-3,37.27939629,126.9993967,수원시 자살예방사업 종합계획 수립 자살 고위험군 등록관리 및 치료지원,09:00,18:00,매주 토요일+일요일+공휴일,208.62,1,1,10,,,,031-247-3279,장안구보건소,031-228-5907,경기도 수원시 장안구보건소,2022-05-02,3740000,경기도 수원시
울주군정신건강복지센터,정신보건,울산광역시 울주군 삼남면 서향교1길 67-12,울산광역시 울주군 삼남면 교동리 1605-1,35.5583314,129.113771,중증정신질환자관리+정신건강증진+자살예방사업+아동청소년 정신건강증진 등,09:00,18:00,토+일+공휴일,102.9,0,3,13,0,행정업무(2),내소+방문+전화상담+온라인상담,052-262-1148,세광병원,052-204-2733,울산광역시 울주군보건소,2022-08-30,3730000,울산광역시 울주군
영덕군정신건강복지센터,정신보건,경상북도 영덕군 영덕읍 경동로 8367,,36.4181557591,129.3676308742,정신건강증진사업+중증정신질환관리사업+생명존중(자살예방)사업+정신보건 환경조성사업,09:00,18:00,토+일+공휴일,,0,2,3,,,,054-730-7161,,,경상북도 영덕군 보건소,2022-08-24,5180000,경상북도 영덕군
평택시정신건강복지센터,정신보건,경기도 평택시 평택5로56,,36.99089576,127.1119697,정신건강증진 및 자살예방사업,09:00,18:00,공휴일,,0,3,10,,,,031-658-9818,,,경기도 평택시 평택보건소,2022-09-27,3910000,경기도 평택시
포승건강생활지원센터,건강증진,경기도 평택시 포승읍 여술로47,"경기도 평택시 포승읍 도곡리 1110, 다목적복지회관",36.98936154,126.847404,금연+운동관리,09:00,18:00,매주토요일+매주일요일+공휴일,498,0,1,0,1,물리/작업치료사(2)+기타(3),관할지역(포승읍),031-8024-8660,포승건강생활지원센터,,경기도 평택시 평택보건소,2022-09-27,3910000,경기도 평택시
평택시건강증진센터,건강증진,경기도 평택시 평택5로 56,경기도 평택시 비전동 850,36.99089531,127.1119719,통합건강상담실+어린이건강체험관+재활운동실+로봇보행재활실 운영,09:00,18:00,매주토요일+일요일+공휴일,886,0,3,0,2,물리치료사(2)+운동처방사(1),내소 및 사전예약,031-8024-4414,경기도 평택시청 평택보건소,031-8024-4414,경기도 평택시 평택보건소,2022-09-27,3910000,경기도 평택시
대전광역시중구정신건강복지센터,정신보건,대전광역시 중구 수도산로 15,대전광역시 중구 대흥동 365-17,36.3203561,127.4258843,중증정신질환자관리+자살예방 및 정신건강증진사업+아동청소년 정신건강증진사업,09:00,18:00,토+공휴일,294.57,1,3,10,,정신질환자 심리지원 업무(1),,042-257-9930,가톨릭대학교 대전성모병원,042-288-8164,대전광역시 중구청,2022-09-02,3650000,대전광역시 중구
수원시중독관리통합지원센터,정신보건,경기도 수원시 팔달구 매산로 89,경기도 수원시 팔달구 매산로3가 43-1,37.27049849,127.0106742,알코올 및 기타중독자의 발견 및 등록사업 가족전화 내방상담 교육,09:00,18:00,매주 토요일+일요일+공휴일,208.62,0,3,5,,,,031-256-9478,장안구보건소,031-228-5908,경기도 수원시 장안구보건소,2022-05-02,3740000,경기도 수원시
수원시노인정신건강복지센터,정신보건,경기도 수원시 영통구 영통로 396,경기도 수원시 영통구 영통동 961-18,37.2568828,127.0697108,노인정신건강 서비스 대상자 등록 및 관리 의뢰체계 구축 노인정신질환 관련 프로그램 운영,09:00,18:00,매주 토요일+일요일+공휴일,205,1,5,7,,작업치료사(1)+기타(1),,031-273-7524,장안구보건소,031-228-5908,경기도 수원시 장안구보건소,2022-05-02,3740000,경기도 수원시
오남건강생활지원센터,건강증진,경기도 남양주시 오남읍 진건오남로 806-34,경기도 남양주시 오남읍 양지리 96-10번지,37.69857596,127.2048422,만성질환 예방관리+건강생활실천 상담+교육프로그램 운영,09:00,18:00,매주토요일+매주일요일+공휴일,243,0,1,0,1,0,,031-590-8501,,,경기도 남양주풍양보건소,2022-03-31,3990000,경기도 남양주시
와부건강생활지원센터,건강증진,경기도 남양주시 와부읍 월문천로 35,경기도 남양주시 와부읍 덕소리 117-1번지,37.58551455,127.2163294,만성질환 예방관리+건강생활실천 상담+교육프로그램 운영,09:00,18:00,매주토요일+매주일요일+공휴일,664,0,0,0,0,1,,031-590-4394,,,경기도 남양주보건소,2022-03-31,3990000,경기도 남양주시
별내건강생활지원센터,건강증진,경기도 남양주시 별내3로 64-21,경기도 남양주시 별내동 1028번지,37.64616741,127.1218817,만성질환 예방관리+건강생활실천 상담+교육프로그램 운영,09:00,18:00,매주토요일+매주일요일+공휴일,415,0,0,0,0,1,,031-590-8188,,,경기도 남양주풍양보건소,2022-03-31,3990000,경기도 남양주시
다산건강생활지원센터,건강증진,경기도 남양주시 다산중앙로 7,경기도 남양주시 다산동 6150번지,37.613928,127.1555493,만성질환 예방관리+건강생활실천 상담+교육프로그램 운영,09:00,18:00,매주토요일+매주일요일+공휴일,370,0,0,0,0,1,,031-590-8580,,,경기도 남양주보건소,2022-03-31,3990000,경기도 남양주시
건강증진센터,건강증진,서울특별시 서초구 남부순환로 2584,서울특별시 서초구 서초동 1376-3,37.48362486,127.0326987,신체활동사업(체성분+체력측정에 따른 운동상담) 영양사업(영양플러스+영양상담),09:00,18:00,토+일+공휴일,,0,0,0,4,운동처방사 3,,02-2155-8074,서울특별시 서초구보건소 건강관리과,02-2155-8074,서울특별시 서초구 보건소,2022-07-14,3210000,서울특별시 서초구
부안군정신건강복지센터,정신보건,전라북도 부안군 부안읍 오리정로 124,,35.72283463,126.7355916,중증정신질환자관리사업+정신건강증진사업+자살예방사업 등,09:00,18:00,토요일+일요일+공휴일,155.5,1,0,8,0,임상심리사(1명),방문 및 전화,063-581-5830,의료법인 지석의료재단 효병원,063-584-1261,전라북도 부안군 보건소,2022-07-07,4790000,전라북도 부안군
안산시 고혈압당뇨병 등록교육센터,건강증진,경기도 안산시 상록구 차돌배기로1길 5(1층일부),경기도 안산시 상록구 사동 1584(1층일부),37.300265,126.8450634,고혈압 당뇨병환자 등록 관리+ 기본검사 및 상담 교육(기본+심화+체험+운동)+ 리콜리마인드서비스+ 건강행태개선 인센티브 지원+ 치료비 및 등록비 지원 등,09:00,18:00,토+일+공휴일,113,0,4,0,3,,,031-416-9088,안산대학교 산학협력단,031-481-5913,경기도 안산시 상록수보건소,2022-12-15,3930000,경기도 안산시
안산시자살예방센터,정신보건,경기도 안산시 상록구 차돌배기로1길 5,경기도 안산시 상록구 사동 1584,37.300265,126.8450634,자살예방업무,09:00,18:00,토+일+공휴일,82.6,1,1,8,0,임상심리사(1),운영 종료시각 이후 경기도 광역자살예방센터 콜센터로 전화 연결됨,031-418-0123,고려대학교 산학협력단,031-481-5922,경기도 안산시 상록수보건소,2022-12-15,3930000,경기도 안산시
중독관리통합지원센터,정신보건,"경기도 안산시 단원구 화랑로 387, 구 단원보건소 2층","경기도 안산시 단원구 고잔동 515, 구 단원보건소 2층",37.3225569,126.8327135,중독자 등록관리 및 중독예방사업,09:00,18:00,토+일+공휴일,222,1,3,6,0,임상심리사(1),상담 전 전화예약,031-411-8445,고려대학교 산학협력단,02-2286-1527,경기도 안산시 단원보건소,2022-12-15,3930000,경기도 안산시
세종시정신건강복지센터,정신보건,세종특별자치시 조치원읍 대첩로 32,,36.59626916,127.2928906,정신건강증진+자살예방사업,09:00,18:00,토+공휴일,,1,4,10,,작업치료사(3),,044-865-5255,세종충남대학교병원,,세종특별자치시 보건소,2022-12-14,5690000,세종특별자치시
마산정신건강복지센터,정신보건,경상남도 창원시 마산합포구 월영동북로 15,경상남도 창원시 마산합포구 해운동 61-1,35.182399,128.562899,중증정신질환자 관리+ 자살예방 및 정신건강증진+ 아동청소년정신건강증진,09:00,18:00,토+일+공휴일,230,1,4,8,0,0,0,055-225-6032,마산보건소 건강관리과,055-225-6031,경상남도 창원시청,2022-12-09,5670000,경상남도 창원시
진해구건강증진센터,건강증진,경상남도 창원시 진해구 진해대로 1101,경상남도 창원시 진해구 풍호동 1,35.131433,128.7101611,개인맞춤형 운동처방실+ 건강증진프로그램 운영,09:00,17:00,토+일+공휴일,,0,0,0,0,운동처방사(2),0,055-225-6187,진해보건소 보건행정과,055-225-6101,경상남도 창원시청,2022-12-09,5670000,경상남도 창원시
창원정신건강복지센터,정신보건,경상남도 창원시 성산구 중앙대로162번길 9,경상남도 창원시 성산구 신월동 96-2,35.227852,128.685536,정신건강증사업 +자살예방사업,09:00,18:00,토+일+공휴일,131.9,1,3,11,0,0,0,055-287-1223,청아의료재단 동서병원,055-225-5764,경상남도 창원시청,2022-12-09,5670000,경상남도 창원시
진해정신건강복지센터,정신보건,경상남도 창원시 진해구 중원동로 62,경상남도 창원시 진해구 중앙동 11-1,35.149898,128.661939,중증정신질환관리+ 자살예방 + 정신건강증진+ 아동청소년정신건강증진,09:00,18:00,토+일+공휴일,,1,3,2,0,0,0,055-225-6691,진해보건소 서부보건지소,055-225-6691,경상남도 창원시청,2022-12-09,5670000,경상남도 창원시
울진군보건소,건강증진,경상북도 울진군 울진읍 읍내8길 61-8,,36.99621755,129.4045994,운동지도(운동+운동실 기구이용)+영양상담(체지방측정 대사증후군),09:00,17:00,토+일+공휴일,,0,1,0,1,운동처방사(1),,054-789-5081,울진군보건소,054-789-5000,울진군보건소,2022-11-30,5250000,경상북도 울진군
수영구건강증진센터,건강증진,부산광역시 수영구 수영로 637-5,부산광역시 수영구 광안동 661-1,35.1624774,129.1134413,운동+영양+비만+건강행태개선 업무,09:00,18:00,토+일+공휴일,,0,0,0,1,운동처방사(2),없음,051-752-4000,수영구보건소,051-752-4000,수영구보건소,2022-12-05,3380000,부산광역시 수영구
서구정신건강복지센터,정신보건,광주광역시 서구 운천로 172번길 32,광주광역시 서구 쌍촌동 1003-3번지,35.1481692,126.8601743,중증정신질환자관리사업+자살예방사업+아동청소년 정신건강관리사업+정신건강증진사업,09:00,18:00,토+일+공휴일,502,7,6,7,,운전원(1)+임상심리사(2),,062-350-4195,광주광역시 서구보건소,062-350-4195,광주광역시 서구보건소,2022-12-08,3600000,광주광역시 서구
양구군정신건강증진센터,정신보건,강원도 양구군 양구읍 관공서로 42,강원도 양구군 양구읍 하리 34-5,38.10994446,127.9892036,정신장애인 재활프로그램 운영+자살예방,09:00,18:00,매주토요일+일요일+공휴일,100.42,1,3,8,,,1577-0199,033-480-2789,서인병원,033-480-2807,양구군보건소,2022-12-07,4320000,강원도 양구군
당진시보건소 건강증진센터,건강증진,충청남도 당진시 서부로 56,충청남도 당진시 채운동 1040,36.88735969,126.6304725,건강상담+체성분 측정+금연상담,09:00,18:00,토+일+공휴일,,0,2,0,1,운동처방사(1),,041-360-6004,당진시보건소,041-360-6720+,당진시보건소,2022-12-01,5680000,충청남도 당진시
논산시건강생활지원센터,건강증진,충청남도 논산시 해월로125번길 26,충청남도 논산시 화지동 164,36.20478393,127.0822907,건강증진프로그램운영+대사증후군관리 등,09:00,18:00,토+일+공휴일,855.81,0,2,0,1,운동처방사(1)+치과위생사(1),,041-746-8027,논산시보건소,041-746-8027,충청남도 논산시 보건소,2022-11-24,4540000,충청남도 논산시
전주시보건소건강증진센터,건강증진,전라북도 전주시 완산구 전라감영로 33(전주시보건소 3층),전라북도 전주시 완산구 중앙동4가 30-1,35.81584604,127.1433514,영양·비만·운동·절주 등 개인 및 소규모집단에 대한 교육+상담분야별 지속 프로그램 운영,09:00,18:00,법정공휴일,323.4,0,1,0,2,1,,063-281-6333,전주시보건소,063-281-6312,전라북도 전주시보건소,2022-11-28,4640000,전라북도 전주시
장계면건강생활지원센터,건강증진,전라북도 장수군 장계면 한들로 124,전라북도 장수군 장계면 장계리 358-37,35.73113068,127.5856752,만성질환예방및건강한생활습관 형성 지원,09:00,18:00,공휴일,80877,0,1,0,1,3,"만성질환관리, 금연클리닉, 운동(처방)실, 영양상담 등",063-352-8700,전라북도 장수군청 보건사업과,063-350-2651,전라북도 장수군청,2022-11-25,4750000,전라북도 장수군
서천군주민건강센터,건강증진,충청남도 서천군 서천읍 사곡길 26,충청남도 서천군 서천읍 군사리 799,36.08213429,126.6894386,운동관리+영양관리+비만관리,09:00,18:00,토+일+공휴일,729.42,0,0,0,0,운동처방사(2),간편한 복장,041-950-6748,충청남도 서천군보건소,041-950-6712,충청남도 서천군보건소,2022-06-13,4580000,충청남도 서천군
동구정신건강복지센터,정신보건,대구광역시 동구 동촌로 79,대구광역시 동구 검사동 1005-8,35.88812099,128.6512343,정신건강증진+자살예방사업,09:00,18:00,토+일+공휴일,129.03,1,2,4,0,8,,053-983-8340,대구가톨릭대학교,053-662-3237,대구광역시 동구보건소,2022-06-21,3420000,대구광역시 동구
순창건강증진센터,건강증진,전라북도 순창군 순창읍 순창5길11-6,전라북도 순창군 순창읍 남계리 649,35.37279371,127.1407559,운동처방+건강증진,05:30,22:00,일+공휴일,1218,0,0,0,0,계약직(1)+청경(1)+공무직(1),,063-650-5256,순창군보건의료원,063-650-5314,순창군보건의료원,2022-06-15,4770000,전라북도 순창군
광진구정신건강복지센터,정신보건,"서울특별시 광진구 긴고랑로 110, 4층","서울특별시 광진구 중곡동 125-11, 4층",37.55933773,127.0870912,중증정신질환자 등록 사례관리 및 재활프로그램운영+생애주기별 정신건강사업+정신건강상담+지역주민 심리지원,09:00,18:00,토+일+공휴일,309,1,4,11,1,,,02-450-1895,멘토스병원,02-450-1934,서울특별시 광진구 보건소,2022-07-05,3040000,서울특별시 광진구
대덕구남부건강생활지원센터,건강증진,대전광역시 대덕구 동춘당로187,대전광역시 대덕구 법동 192-1,36.36720857,127.4308384,주민참여기반의 건강증진사업,09:00,18:00,토+일+공휴일,486.42,1,4,0,1,체육지도자 5명,금연클리닉,042-608-4474,대덕구남부건강생활지원센터,042-608-5499,대전광역시 대덕구보건소,2022-07-05,3680000,대전광역시 대덕구
안동시주민건강지원센터,건강증진,경상북도 안동시 서동문로 165,경상북도 안동시 북문동 58,36.5669986,128.7302562,만성질환관리+금연클리닉+영양플러스+건강증진실+구강보건+방문보건업무 등 건강증진프로그램 운영,09:00,18:00,토+일+공휴일,,5,7,0,6,위생사(1)+물리치료사(2)+작업치료사(1)+의무기록(1)+치과위생사(4)+간호조무사(1)+행정업무보조(1),,054-840-5997,경상북도 안동시 보건소,054-840-5997,경상북도 안동시 보건소,2022-06-30,5070000,경상북도 안동시
구리시정신건강증진센터,건강증진,경기도 구리시 건원대로 34번길 84,경기도 구리시 인창동 674-3,37.604755,127.145063,기초정신건강증진센터 운영+정신질환자 치료비지원 사업+아동청소년 정신건강증진+자살예방사업,09:00,18:00,토요일+일요일+공휴일,330,1,9,16,0,0,방문전사전예약,031-523-8614,학교법인 한양학원(소관청 : 한양대학교구리병원),031-550-8628,경기도 구리시청 보건소,2022-06-30,3980000,경기도 구리시
삼척시정신건강복지센터,정신보건,강원도 삼척시 척주로 76,강원도 삼척시 남양동 347-4,37.4437523,129.1722129,자살예방 및 정신건강증진사업,09:00,18:00,매주 토요일+일요일+공휴일,,1,4,10,,,,033-574-0190,의료법인 동해동인의료재단,033-570-4696,강원도 삼척시보건소,2022-07-01,4240000,강원도 삼척시
괴산군정신건강복지센터,정신보건,"충청북도 괴산군 괴산읍 동진천길 43, 2층",충청북도 괴산군 괴산읍 동부리 641,36.80799723,127.7966873,정신건강증진사업+자살예방사업+만성정신질환자관리사업+아동청소년정신건강증진사업,09:00,18:00,토+일+공휴일,,0,1,6,0,0,,043-832-0330,,043-832-0330,충청북도 괴산군보건소,2022-06-01,4460000,충청북도 괴산군
음성군 건강증진센터,건강증진,충청북도 음성군 음성읍 중앙로 49,충청북도 음성군 음성읍 읍내리 406-4,36.92884607,127.6888780885,운동기구를 활용한 체력단련,09:00,18:00,매주토요일+일요일+공휴일,379,0,1,0,1,운동처방사(1),,043-871-2089,충청북도 음성군 보건소,043-872-2136,충청북도 음성군 보건소,2022-06-23,4470000,충청북도 음성군
건강생활지원센터,건강증진,강원도 홍천군 북방면 상화계2길 17,강원도 홍천군 북방면 상화계리 97-1,37.70603484,127.8542579,북방면 건강증진프로그램 운영,09:00,18:00,토+일+공휴일,330.9,0,2,0,1,3,인바디사전예약요망,033-430-4132,해당사항 없음,033-430-4132,강원도 홍천군보건소,2022-06-22,4250000,강원도 홍천군
금산군정신건강복지센터,건강증진,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.112082,127.491624,만성정신질환자관리+자살예방사업+아동청소년 정신건강사업,09:00,18:00,매주 일요일+공휴일,195,0,3,7,0,1,,041-751-4721,충남대학교 산학협력단,041-750-4364,충청남도 금산군 보건소,2022-06-21,4550000,충청남도 금산군
함양군건강증진센터,건강증진,경상남도 함양군 함양읍 한들로 139,경상남도 함양군 함양읍 용평리 630-3,35.51955171,127.7314751,정신+재활사업,09:00,18:00,주말+공휴일,327.83,0,4,4,0,2,,055-960-8060,함양군보건소,055-960-5114,경상남도 함양군청,2022-06-24,5460000,경상남도 함양군
예산군보건소 건강증진센터,건강증진,충청남도 예산군 예산읍 군청로 22,충청남도 예산군 예산읍 예산리 777,36.68088054,126.8448507,건강증진사업+건강상담,09:00,18:00,토+일,4654.11,1,1,1,1,운동처방사(1),,041-339-6080,충청남도 예산군보건소,041-339-6080,충청남도 예산군보건소,2022-06-24,4610000,충청남도 예산군
예산군정신건강복지센터,정신보건,충청남도 예산군 예산읍 군청로 22,충청남도 예산군 예산읍 예산리 777,36.68088054,126.8448507,정신건강증진사업+자살예방사업,09:00,18:00,토+일,4654.11,1,6,0,0,,의사상담 사전예약,041-339-6111,충청남도 예산군보건소,041-339-6111,충청남도 예산군보건소,2022-06-24,4610000,충청남도 예산군
예산정신요양원,정신보건,충청남도 예산군 예산읍 간양길 258,충청남도 예산군 예산읍 간양리 46,36.72533069,126.8784205,만정 정신질환자 요양 및 보호,09:00,18:00,연중무휴,629.65,1,2,5,1,시설장(1)+사무국장(1)+사무원(1)+정신건강전문요원(1)+영양사(1)+간호사(2)+생활복지사(5)+작업지도원(1)+조리원(3)+위생원(1)+관리인(1)+안전요원(1)+촉탁의(1),,041-334-7951,충청남도 예산정신요양원,041-339-6113,충청남도 예산군보건소,2022-06-24,4610000,충청남도 예산군
양천구 정신건강복지센터,정신보건,서울특별시 양천구 목동서로 339(신정동),서울특별시 양천구 신정동 321-5,37.517794,126.865739,만성정신질환자 관리사업+정신건강증진사업+아동청소년 정신건강특화사업,09:00,18:00,토요일+일요일+공휴일,198,1,1,13,0,,,02-2061-8881,양천구보건소,02-2620-3941,서울특별시 양천구,2022-08-05,3140000,서울특별시 양천구
순천시 정신건강복지센터,정신보건,전라남도 순천시 중앙로 232 순천시 보건소 2층,전라남도 순천시 석현동 35-6,34.96667705,127.4860726,정신건강 복지,09:00,18:00,토+일+공휴일,,2,8,3,,,,061-749-6695,전라남도 순천시 보건소,061-749-6888,전라남도 순천시 보건소,2022-07-29,4820000,전라남도 순천시
순천시치매안심센터,건강증진,전라남도 순천시 중앙로 232,전라남도 순천시 석현동 35-6,34.96667705,127.4860726,치매예방+상담+조기진단+보건복지 자원연계 및 교육 등 통합관리,09:00,18:00,토+일+공휴일,738,0,10,2,0,,,061-749-8888,전라남도 순천시 보건소,061-749-8888,전라남도 순천시 보건소,2022-07-29,4820000,전라남도 순천시
완정건강생활지원센터,건강증진,"인천광역시 서구 청마로167번길 19 (당하동, 2층)",인천광역시 서구 당하동 1097-4,37.59210105,126.6746306,영양관리+대사증후군관리+비만+금연관리+임산부관리+구강건강+건강강좌+재활보건사업,09:00,18:00,토+일+공휴일,,0,3,0,0,운동처방사(1)+작업치료사(1),,032-718-0530,인천광역시 서구보건소,032-718-0530,인천광역시 서구보건소,2022-07-26,3560000,인천광역시 서구
석남건강생활지원센터,건강증진,인천광역시 서구 길주로 79,인천광역시 서구 석남동 518-18,37.50672637,126.670879,영양관리+대사증후군관리+비만+금연관리+임산부관리+구강건강+건강강좌+어린이건강체험관,09:00,18:00,토+일+공휴일,,0,3,0,0,운동처방사(1)+치과위생사(1),,032-718-0552,인천광역시 서구보건소,032-718-0552,인천광역시 서구보건소,2022-07-26,3560000,인천광역시 서구
가좌건강생활지원센터,건강증진,인천광역시 서구 건지로284번길 60,인천광역시 서구 가좌동 145-43,37.49392982,126.6730183,영양관리+대사증후군관리+비만+금연관리+임산부관리+구강건강+건강강좌,09:00,18:00,토+일+공휴일,,0,2,0,1,운동처방사(1),,032-718-0570,인천광역시 서구보건소,032-718-0570,인천광역시 서구보건소,2022-07-26,3560000,인천광역시 서구
검단건강생활지원센터,건강증진,인천광역시 서구 완정로 214,인천광역시 서구 금곡동 736-6,37.60359356,126.6529551,영양관리+대사증후군관리+비만+금연관리+임산부관리+구강건강+건강강좌,09:00,18:00,토+일+공휴일,,0,3,0,1,운동처방사(1),,032-560-5080,인천광역시 서구보건소,032-560-5080,인천광역시 서구보건소,2022-07-26,3560000,인천광역시 서구
강동구정신건강복지센터,정신보건,서울특별시 강동구 성내로 45,서울특별시 강동구 성내2동 541-2번지,37.52954199,127.125597,중증사례관리사업+아동청소년사업+우울자살예방사업+지역환경조성사업,09:00,18:00,토+일+공휴일,77.28,1,0,11,0,심리상담사(1),강동구민누구나(문의후이용),02-471-3223,국립중앙의료원,02-2260-7092,서울특별시 강동구보건소,2022-07-21,3240000,서울특별시 강동구
서산시보건소 건강증진센터,건강증진,충청남도 서산시 호수공원 6로 6,충청남도 서산시 예천동 496-1,36.77457668,126.4445156,기초튼튼운동+요통예방운동+대사증후군개선운동+비만관리+영양관리+건강상담,09:00,18:00,매주토요일+매주일요일+공휴일,4620.01,0,1,0,1,운동처방사(1),검사 전날 밤 10부터 금식 요망,041-661-8106,서산시보건소,041-661-6559,충청남도 서산시보건소,2022-07-27,4530000,충청남도 서산시
춘천시민건강증진센터,건강증진,강원도 춘천시 중앙로 131,강원도 춘천시 중앙로3가 67,37.875777,127.720819,체성분측정+체력측정+운동상담+영양상담+비만클리닉+건강증진 프로그램 운영,09:00,18:00,토+일+공휴일,459,1,1,0,3,2,체성분측정시 식후 2시간후에 측정가능,033-250-4693,강원도 춘천시 보건소,033-250-3577,강원도 춘천시 보건소,2022-07-12,4180000,강원도 춘천시
건강증진센터,건강증진,강원도 철원군 갈말읍 군탄로 16,강원도 철원군 갈말읍 군탄리960-2,38.1481382,127.3025602,"건강증진상담 및 교육, 운동프로그램운영",09:00,18:00,"법정공휴일, 임시 및 대체 공휴일",564.93,0,1,0,1,1,0,033-450-5123,건강증진센터,333-450-5550,철원군보건소,2021-10-20,4300000,강원도 철원군
완도군정신건강복지센터,정신보건,전라남도 완도군 완도읍 농공단지길34,,34.33582329,126.731327,"정신건강복지사업, 자살예방사업",09:00,18:00,주말 및 공휴일,,1,3,3,,,,061-550-6745,,,완도군,2021-10-15,4990000,전라남도 완도군
남구정신건강증진센터,정신보건,광주광역시 남구 봉선로1,광주광역시 남구 주월동 1284-1,35.13290539,126.902408,정신건강증진사업,09:00,18:00,"매주토요일,일요일",164.5,1,5,8,,임상심리사(2),,062-676-8236,국립나주병원,062-607-4391,광주광역시 남구 보건소,2021-10-12,3610000,광주광역시 남구
시흥시정신건강복지센터,정신보건,경기도 시흥시 호현로 55,경기도 시흥시 대야동 484-5,37.44558366,126.7852959,생애주기별 정신건강증진사업/정신장애인관리사업/자살예방사업,09:00,18:00,토요일+일요일+공휴일,231.4,0,9,27,0,자문의(2)+심리상담사(3),,031-316-6661,경복대학교산학협력단,,경기도 시흥시청,2022-12-01,4010000,경기도 시흥시
보령시보건소 건강증진센터,건강증진,충청남도 보령시 남포면 보령남로 234,충청남도 보령시 남포면 봉덕리 39-1,36.32450916,126.6023712,개인 운동상담 및 체성분 측정+영양상담+건강상담,09:00,18:00,토+일+법정공휴일,,0,0,0,1,체육지도자(1),041-930-0900,041-930-5980,보령시보건소,041-930-5961,충청남도 보령시,2022-12-12,4510000,충청남도 보령시
함안군건강생활지원센터,건강증진,경상남도 함안군 칠원읍 용산1길 54-5,경상남도 함안군 칠원읍 구성리 646-2,35.31011238,128.5167043,지역주민 건강생활실천 + 만성질환 예방 및 관리,09:00,18:00,토요일+일요일+공휴일,,0,2,0,,,,055-580-3312,경상남도 함안군보건소,,함안군보건소,2022-12-01,5400000,경상남도 함안군
함안군정신건강복지센터,정신보건,경상남도 함안군 가야읍 중앙남4길 10,경상남도 함안군 가야읍 말산리 100,35.2757073,128.410279,중증정신질환자 관리사업+지역정신건강 위기대응 사업+아동청소년 정신건강증진사업+고위험군 및 일반인 대상 정신건강증진사업+자살예방사업,09:00,18:00,토요일+일요일+공휴일,,1,6,3,,,,055-580-3201,경상남도 함안군보건소,,함안군보건소,2022-12-01,5400000,경상남도 함안군
정신건강복지센터,정신보건,경상남도 양산시 중앙로 7-32,경상남도 양산시 다방동 506-3,35.33215753,129.0379934,정신건강증진사업+자살예방사업,09:00,18:00,법정공휴일휴무,273,1,3,9,0,정신건강임상심리사(2)+임상심리사(2)+작업치료사(1),,055-367-2255,정신건강복지센터,055-392-5721,경상남도 양산시 보건소,2022-12-06,5380000,경상남도 양산시
여주시정신건강복지센터,정신보건,경기도 여주시 여흥로160번길 14(상동),,37.29461028,127.640392,정신건강증진 및 자살예방사업,09:00,18:00,토요일+일요일+공휴일,,1,13,7,,임상심리사(1),,031-886-3435,,,경기도 여주시청,2022-11-01,5700000,경기도 여주시
