육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
선암보도육교,구도,,구봉로,대전광역시 서구 구봉로,36.299297,127.336078,47.5,5,,4.5,4,1.1,,Y,엘리베이터,,,,2013-04-30, ,양호,제한없음,,정기점검,2022-06-29,대전광역시 서구청,2022-12-07,3660000,대전광역시 서구
노곡보도육교,구도,,구봉산북로,대전광역시 서구 구봉산북로,36.293834,127.3434584,34.9,5,,4.5,4,1.1,,Y,엘리베이터,,,,2013-04-30, ,보통,제한없음,,정기점검,2022-06-29,대전광역시 서구청,2022-12-07,3660000,대전광역시 서구
사이언스보도육교,고속국도,0,갑천도시고속도로,대전광역시 서구 갑천도시고속도로,36.3711001,127.3885001,46,5,,4.5,4,1.3,9,Y,엘리베이터,,,,2022-06-16, ,양호,제한없음,,정기점검,2022-06-16,대전광역시 서구청,2022-12-07,3660000,대전광역시 서구
만촌육교,구도,,황금로,대구광역시 수성구 청호로 477,35.85785536,128.6440987,28,5.5,,4.5,4,,,N,N,0,N,,,N,양호,제한없음,2021년 정비공사,정기점검,2021-12-24,대구광역시 수성구청,2022-12-13,3460000,대구광역시 수성구
범어육교,구도,,황금로,대구광역시 수성구 청호로 407,35.85368493,128.6382257,26,5.5,,4.5,4,,,N,N,0,N,,,N,양호,제한없음,2020년 정비공사,정기점검,2021-12-24,대구광역시 수성구청,2022-12-13,3460000,대구광역시 수성구
망우공원육교,시도,,화랑로,대구광역시 수성구 팔현길 248,35.8752654,128.6582629,42.3,5.5,,4.5,4.5,,,N,N,0,N,,,N,양호,제한없음,,정기점검,2021-12-24,대구광역시 수성구청,2022-12-13,3460000,대구광역시 수성구
동촌유원지육교,시도,,화랑로,대구광역시 동구 효동로2길 10,35.87910949,128.6508435,42.3,5.5,,4.5,4.5,,,N,N,0,N,,,N,양호,제한없음,,정기점검,2021-12-24,대구광역시 수성구청,2022-12-13,3460000,대구광역시 수성구
고모육교,구도,,경부선,대구광역시 수성구 팔현길 241,35.87290356,128.6582542,32,5.5,,4.5,4,,,N,N,0,N,,,N,양호,제한없음,2014년 정비공사,정기점검,2021-12-24,대구광역시 수성구청,2022-12-13,3460000,대구광역시 수성구
청림육교,시도,,고산로,대구광역시 수성구 고산로 51,35.83563358,128.7033758,31.1,5.5,,4.5,4,,,N,N,0,N,,,N,양호,제한없음,2021년 정비공사,정기점검,2021-12-24,대구광역시 수성구청,2022-12-13,3460000,대구광역시 수성구
승삼네거리육교,시도,7번,원화로,경상북도 경주시 승삼2길 8,35.87643035,129.2282919,33,5,,5,3.1,,,N,없음,,,,1998-01-01,N,양호,제한없음,,정기점검,2021-12-27,경상북도 경주시청,2022-11-29,5050000,경상북도 경주시
근화여고육교,시도,7번,원화로,경상북도 경주시 승삼2길 55,35.87199258,129.2257016,30,5,,5,4,,,N,없음,,,,1995-01-01,N,양호,제한없음,,정기점검,2021-12-27,경상북도 경주시청,2022-11-29,5050000,경상북도 경주시
괘능보도육교,시도,7번,산업로,경상북도 경주시 외동읍 산업로 2847,35.76413332,129.3123311,25.1,5,,5,2.3,,,N,없음,,,,1996-12-29,N,양호,제한없음,,정기점검,2021-12-27,경상북도 경주시청,2022-11-29,5050000,경상북도 경주시
입실보도육교,시도,7번,산업로,경상북도 경주시 외동읍 산업로 2258,35.71263057,129.320185,23.1,5,,5,2.3,,,N,없음,,,,1996-12-29,N,양호,제한없음,,정기점검,2021-12-27,경상북도 경주시청,2022-11-29,5050000,경상북도 경주시
백천(보도)육교,일반국도,25,25번,경상북도 경산시 경청로,35.802057,128.738375,29.5,5,,4.5,3.6,1.8,5,N,없음,,,,2004-10-30,Y,보통,제한없음,,정기점검,2004-10-30,경상북도 경산시청,2022-11-30,5130000,경상북도 경산시
영대(보도)육교,시도,,대로2류 1,경상북도 경산시 계양로,35.829674,128.749624,57.6,5,,4.5,3.6,1.8,4,Y,경사로,2,,,2018-11-23,Y,양호,제한없음,,정밀안전진단,2019-03-11,경상북도 경산시청,2022-11-30,5130000,경상북도 경산시
성암(보도)육교,시도,,대로1류,경상북도 경산시 삼성현로,35.822137,128.717374,32.6,5.2,,4.5,2.6,1.8,4,Y,경사로,2,,,2015-01-30,Y,보통,제한없음,,정기점검,2015-01-30,경상북도 경산시청,2022-11-30,5130000,경상북도 경산시
양현보도육교,시도,,분당로,경기도 성남시 분당구 분당로,37.38414402,127.1294417,36,4.5,,4.5,5,,,Y,엘리베이터,2,없음,0,1994-12-31, ,보통,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
오작보도육교,시도,,불정로,경기도 성남시 분당구 불정로,37.37079426,127.1316529,49,4.5,,4.5,8.2,,,N,없음,0,없음,0,1994-12-31, ,보통,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
운중육교,시도,,운중로,경기도 성남시 분당구 운중로,37.38918186,127.0916076,46,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
은하육교,시도,,운중로,경기도 성남시 분당구 운중로,37.38996308,127.0880085,38,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
잿너머육교,시도,,대왕판교로,경기도 성남시 분당규 대왕판교로,37.387883,127.111217,38,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
테크노육교,시도,,판교로,경기도 성남시 분당구 판교로,37.40163712,127.1129778,41,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
하나육교,시도,,운중로,경기도 성남시 분당구 운중로 134-1,37.39158355,127.0705622,44,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2008-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
학고개육교,시도,,운중로,경기도 성남시 분당구 운중로 134-1,37.39147997,127.066604,48,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2008-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
한솔보도육교,시도,,돌마로,경기도 성남시 분당구 돌마로,37.36625341,127.1190207,37,4.5,,4.5,5,,,N,없음,0,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
화랑육교,시도,,대왕판교로,경기도 성남시 분당구 대왕판교로,37.40161535,127.1053203,125.9,4.5,,4.5,8,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
나드리육교,기타,,분당도시고속화도로,경기도 성남시 분당구 분당도시고속화도로,37.39456457,127.1129621,58,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2016-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
삼평육교,시도,,대왕판교로,경기도 성남시 분당구 대왕판교로606번길 10,37.39460238,127.1096448,68,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2016-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
경부선횡단육교,기타,,경부고속도로,경기도 성남시 분당구 경부고속도로 409,37.397839,127.100625,163.2,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2013-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
명석보도육교,시도,대로3-17,우암로,대전광역시 동구 우암로381번길 3,36.35266835,127.4534384,22,4.8,,4.8,4,,,N,없음,,,,1996-12-30, ,보통,제한없음,,정기점검,2020-07-30,대전광역시 동구청,2022-12-07,3640000,대전광역시 동구
삼정보도육교,기타,,삼정동,대전광역시 동구 삼정동 60-3번지,36.32734234,127.475364,126,10,,10,3,,,N,없음,,,,, ,보통,제한없음,,정기점검,2022-08-05,대전광역시 동구청,2022-12-07,3640000,대전광역시 동구
갈현보도육교,시도,2-61,드림로,인천광역시 계양구 드림로 790번길 2,37.57563786,126.721189,29,,,5,4,,,N,점자블럭,,,,,Y,양호,사용제한,,정밀점검,2019-04-01,인천광역시 계양구청,2022-12-01,3550000,인천광역시 계양구
민락초등학교 앞 육교,시도,광역시도2003,광남로,부산광역시 수영구 광남로 271,35.16066234,129.1283354,56,,,4.9,3,,,Y,승강기,3,,,,N,보통,제한없음,,정기점검,2022-10-04,부산광역시 수영구청,2022-11-25,3380000,부산광역시 수영구
민락교 접속육교,시도,광역시도2401,광안해변로,부산광역시 수영구 광안해변로 418,35.15998619,129.1315179,5.3,,,8.4,2,,,N,없음,0,,,,N,보통,제한없음,,정기점검,2022-10-04,부산광역시 수영구청,2022-11-25,3380000,부산광역시 수영구
남천동 자유한국당사 앞 육교,시도,광역시도24,황령대로,부산광역시 수영구 황령대로 493,35.138288,129.1079135,31.2,,,4.5,3,,,Y,승강기,2,,,,N,보통,제한없음,,정기점검,2022-10-04,부산광역시 수영구청,2022-11-25,3380000,부산광역시 수영구
남산2호터널앞보도육교,특별시도,,녹사평대로,서울특별시 용산구 녹사평대로 286,37.54312763,126.9895128,,,,4.5,,,,Y,엘리베이터,,,,,N,보통,제한없음,,정기점검,2022-11-30,서울특별시 용산구청,2022-11-18,3020000,서울특별시 용산구
남산3호터널앞보도육교,특별시도,,녹사평대로,서울특별시 용산구 녹사평대로 246,37.53954866,126.9874766,,,,4.3,,,,Y,엘리베이터,,,,,N,보통,제한없음,,정기점검,2022-11-30,서울특별시 용산구청,2022-11-18,3020000,서울특별시 용산구
녹사평보도육교,특별시도,,녹사평대로,서울특별시 용산구 녹사평대로 지하 195,37.53483097,126.9870294,,,,4.9,,,,Y,엘리베이터,,,,,N,보통,제한없음,,정기점검,2022-11-30,서울특별시 용산구청,2022-11-18,3020000,서울특별시 용산구
반포대교북단보도육교,특별시도,,서빙고로,서울특별시 용산구 서빙고로 269,37.52036862,126.9935205,,,,4.3,,,,N,없음,,,,,N,미흡,제한없음,,정기점검,2022-11-30,서울특별시 용산구청,2022-11-18,3020000,서울특별시 용산구
북한남삼거리보도육교,특별시도,,한남대로,서울특별시 용산구 한남대로 152,37.54197477,127.0032498,,,,4.5,,,,Y,경사로,,,,,N,미흡,제한없음,,정기점검,2022-11-30,서울특별시 용산구청,2022-11-18,3020000,서울특별시 용산구
서빙고역앞보도육교,시도,,서빙고로,서울특별시 용산구 서빙고로 246,37.51991434,126.9908192,,,,4.5,,,,Y,엘리베이터,,,,,N,보통,제한없음,,정기점검,2022-11-30,서울특별시 용산구청,2022-11-18,3020000,서울특별시 용산구
박달삼거리 육교,시도,,박달로,경기도 안양시 만안구 박달로 480,37.4022931,126.9057586,29,5,,4.3,4,1.1,,Y,승강기,1,,,1993-04-23,N,양호,제한없음,,정기점검,2019-04-19,경기도 안양시청,2022-11-15,3830000,경기도 안양시
검단보도육교,시도,2,둔촌대로,경기도 성남시 중원구 시민로6번길 5,37.43087847,127.1518523,45,4.5,,4.5,4,1.2,4,N,없음,0,없음,0,1993-12-31,N,미흡,제한없음,N,정기점검,2022-04-26,경기도 성남시 중원구청,2022-12-01,3780000,경기도 성남시
대하보도육교,시도,2,둔촌대로,경기도 성남시 중원구 둔촌대로 311,37.43072965,127.152555,45,5.5,,5.5,3.7,1.2,4,N,없음,0,없음,0,1993-12-31,N,보통,제한없음,N,정기점검,2022-04-26,경기도 성남시 중원구청,2022-12-01,3780000,경기도 성남시
공단보도육교,시도,2,둔촌대로,경기도 성남시 중원구 둔촌대로 431,37.43307808,127.1649906,45,4.5,,4.5,3.7,1.2,4,N,없음,0,없음,0,1993-12-31,N,보통,제한없음,N,정기점검,2022-04-26,경기도 성남시 중원구청,2022-12-01,3780000,경기도 성남시
시청보도육교,시도,3,성남대로,경기도 성남시 중원구 성남대로,37.419248,127.128743,45,4.5,,4.5,5,1.2,2,Y,엘리베이터,2,없음,0,2016-12-31,Y,양호,제한없음,N,정기점검,2022-04-26,경기도 성남시 중원구청,2022-12-01,3780000,경기도 성남시
공원보도육교,시도,,분당로,경기도 성남시 분당구 중앙공원로 20,37.37821767,127.1281637,37,4.5,,4.5,,,,N,없음,0,없음,0,1992-12-31, ,보통,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
궁골육교,시도,,판교로,경기도 성남시 분당구 판교로 323,37.40365572,127.1100603,58.2,4.5,,4.5,4,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
까치육교,시도,,운중로,경기도 성남시 분당구 운중로 134-1,37.39151516,127.0796448,38,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2008-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
낙생육교,시도,,서현로,경기도 성남시 분당구 판교역로146번길 20,37.39167343,127.1112779,56,4.5,,4.5,5.2,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
너더리육교,시도,,운중로,경기도 성남시 분당구 운중로 134-1,37.38824958,127.0990774,49.5,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
동안육교,시도,,판교역로,경기도 성남시 분당구 판교역로,37.40166905,127.1096799,87,4.5,,4.5,7,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
동판교육교,시도,,동판교로,경기도 성남시 분당구 동판교로,37.39483246,127.1168343,40,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
뫼루니육교,시도,,운중로,경기도 성남시 분당구 운중로 134-1,37.39119214,127.0829238,44,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
미동육교,시도,,판교로,경기도 성남시 분당구 판교로,37.40318937,127.1023182,71.5,4.5,,4.5,4,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
백현육교,기타,,분당도시고속화도로,경기도 성남시 분당구 분당도시고속화도로,37.3895995,127.1129416,52,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
벌말육교,시도,,동판교로,경기도 성남시 분당구 동판교로,37.4020226,127.1168455,43,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
봇들육교,시도,,판교로,경기도 성남시 분당구 판교로,37.40320979,127.107726,81,4.5,,4.5,4,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
분당보도육교,시도,,서현로,경기도 성남시 분당구 서현로,37.37228031,127.147101,43,5,,5,5,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
사랑보도육교,시도,,돌마로,경기도 성남시 분당구 돌마로,37.3738277,127.1282374,50,4.5,,4.5,12,,,N,없음,0,없음,0,1993-12-31, ,보통,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
서판교육교,시도,,운중로,경기도 성남시 분당구 운중로 134-1,37.39169967,127.0729778,44,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2008-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
서현보도육교,시도,,분당로,경기도 성남시 분당구 돌마로 482-2,37.38054616,127.1236138,41,4.5,,4.5,5,,,Y,엘리베이터,2,없음,0,1997-12-31, ,보통,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
성내미육교,시도,,판교로,경기도 성남시 분당구 판교로,37.4005708,127.096112,46,4.5,,4.5,,,,Y,엘리베이터,2,없음,0,2009-12-31, ,양호,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
숲안보도육교,시도,,수내로,경기도 성남시 분당구 돌마로 361-1,37.37352147,127.1239049,41,4.5,,4.5,5,,,N,없음,0,없음,0,1997-12-31, ,보통,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
신기보도육교,시도,,불정로,경기도 성남시 분당구 불정로 50,37.35992738,127.1124908,32,4.5,,4.5,5,,,N,없음,0,없음,0,1997-12-31, ,보통,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
양지보도육교,시도,,분당로,경기도 성남시 분당구 돌마로 361-1,37.37757628,127.1202173,35,4.5,,4.5,5,,,N,없음,0,없음,0,2009-12-31, ,보통,제한없음,N,정기점검,2022-05-30,경기도 성남시 분당구청,2022-12-01,3780000,경기도 성남시
소사 보도육교,일반국도,38번,서동대로,경기도 평택시 합정동 1-11,36.98994288,127.1211055,34,,,5.1,4,,,Y,엘리베이터,2,엘리베이터+케노피,3,,N,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
문화아파트 앞 보도육교,일반국도,1번,경기대로,경기도 평택시 863,36.99212625,127.1142766,35.5,,,4.8,3.5,,,Y,경사로,2,없음,,,N,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
용이 보도육교,시도,6호선,이화로,경기도 평택시 용이동 514,36.99852461,127.1446355,46,,,4.5,3.4,,,Y,엘리베이터,2,엘리베이터+케노피,3,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
현촌 보도육교,기타,1-101호선,현촌1로,경기도 평택시 용이동 617,36.99897582,127.1320226,33,,,4.5,3,,,Y,엘리베이터,2,엘리베이터+케노피,3,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
용죽1 보도육교,기타,1-6호선,평남로,경기도 평택시 비전동 1132,36.99423876,127.1202343,45,,,5.1,3.5,,,Y,엘리베이터,2,엘리베이터+케노피,3,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
용죽2 보도육교,기타,1-7호선,죽백3로,경기도 평택시 죽백동 825,36.99869289,127.1214347,43,,,5.1,3,,,Y,엘리베이터,2,엘리베이터+케노피,3,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
용죽3 보도육교,기타,1-10호선,미지정,경기도 평택시 용이동 731,36.99738329,127.1288466,45,,,5.1,4,,,Y,엘리베이터,2,엘리베이터+케노피,3,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
신흥 보도육교,기타,1-5호선,이화로,경기도 평택시 용이동 753,37.00138001,127.1428089,45,,,5.1,4,,,Y,엘리베이터,2,엘리베이터+케노피,3,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
송탄공단 앞 보도육교,일반국도,1번,경기대로,경기도 평택시 장당동 73-2,37.03791533,127.0697727,40,,,5.1,4,,,Y,경사로,2,없음,,,N,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
송탄여중고 옆 보도육교,일반국도,1번,경기대로,경기도 평택시 지산동 산173-14,37.07184782,127.0652945,30,,,5,2.2,,,Y,경사로,2,없음,,,N,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
아주아파트-라이프아파트간 보도육교,일반국도,1번,경기대로,경기도 평택시 독곡동 351,37.08266687,127.062135,28,,,4.9,3,,,Y,경사로,2,없음,,,N,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
장당지구 보도육교,일반국도,1번,경기대로,경기도 평택시 장당동 649,37.04931264,127.0597695,42,,,5,3.6,,,Y,엘리베이터,2,엘리베이터,2,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
장당지구 지상경사로,일반국도,1번,경기대로,경기도 평택시 장당동 628-4,37.05117565,127.0597036,,,,5,,,,Y,경사로,2,없음,,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
이충지구 보도육교,일반국도,1번,경기대로,경기도 평택시 이충동 423-7,37.05819454,127.0625051,45,,,5.1,3.6,,,Y,엘리베이터,2,엘리베이터,2,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
진위 보도육교,일반국도,1번,경기대로,경기도 평택시 진위면 하북리 152-2,37.10979703,127.0634719,36.1,,,5.1,3.4,,,Y,엘리베이터,2,엘리베이터,2,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
갈평 보도육교,기타,경부선,경부선,경기도 평택시 서정동 432-3,37.05929603,127.0533613,50,,,8.5,2.3,,,N,없음,,없음,,,N,불량,사용제한,,정밀점검,2020-12-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
송탄역 보도육교,기타,경부선,경부선,경기도 평택시 신장동 234-16,37.07655963,127.0543935,38,,,8.5,4,,,N,없음,,없음,,,N,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
청북지구 보도육교1,기타,2-1호선,청북남로,경기도 평택시 청북읍 옥길리 1261,37.01934792,126.9165056,31.5,,,5.1,5.5,,,Y,엘리베이터,2,엘리베이터,2,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
청북지구 보도육교2,기타,1-2호선,안청로1길,경기도 평택시 청북읍 옥길리 1218,37.01516142,126.9142311,24.5,,,4.9,5,,,Y,엘리베이터,2,엘리베이터,2,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
청북지구 보도육교3,기타,1-4호선,안청로4길,경기도 평택시 청북읍 옥길리 1231,37.02346233,126.9145025,14.5,,,4.9,5.5,,,Y,엘리베이터,2,엘리베이터,2,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
청북지구 보도육교4,기타,3-1호선,안청로,경기도 평택시 청북읍 옥길리 1198,37.02062614,126.9145315,28,,,5.1,5,,,Y,엘리베이터,2,엘리베이터,2,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
청북지구 보도육교5,기타,1-1호선,청북남로,경기도 평택시 청북읍 옥길리 1219,37.01846627,126.9127451,21,,,4.9,5,,,Y,엘리베이터,2,엘리베이터,2,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
청북지구 보도육교6,기타,1-2호선,안청로1길,경기도 평택시 청북읍 옥길리 1215,37.01960195,126.9110499,16.5,,,4.9,5,,,Y,엘리베이터,2,엘리베이터,2,,Y,양호,제한없음,,정기점검,2021-06-30,경기도 평택시,2022-06-13,3910000,경기도 평택시
충무육교,기타,대로 1-3호,충무로,충청남도 천안시 서북구 쌍용대로 14,37.4153937,127.756333,42,4,,4,4,1,,N,없음,,,,1997-01-01, ,양호,제한없음,,정기점검,2021-12-16,충청남도 천안시 서북구,2022-06-17,4490000,충청남도 천안시
대봉육교,기타,,일반철도,충청남도 천안시 서북구 와촌3길 20,37.4214689,127.853987,38,6,,4,3,1,,N,없음,,,,1971-01-01, ,보통,제한없음,,정기점검,2021-12-16,충청남도 천안시 서북구,2022-06-17,4490000,충청남도 천안시
불당원형육교,기타,광로3-2호,불당대로,충청남도 천안시 서북구 불당동 1446,37.422195,127.630748,206,6,,4,4,1,110,Y,엘리베이터,4,,,2010-01-01, ,양호,제한없음,,정기점검,2021-12-16,충청남도 천안시 서북구,2022-06-17,4490000,충청남도 천안시
성정육교,기타,,일반철도,충청남도 천안시 서북구 와촌동 17,37.4246105,127.0906563,71,6,,4,6,1,,N,없음,,,,1983-01-01, ,양호,제한없음,,정기점검,2021-12-16,충청남도 천안시 서북구,2022-06-17,4490000,충청남도 천안시
영성육교,기타,광로2-2호,삼성대로,충청남도 천안시 서북구 두정동 1802,37.4416576,127.0845349,64,4,,4,4,1,42,N,없음,,,,2006-01-01, ,양호,제한없음,,정기점검,2021-12-16,충청남도 천안시 서북구,2022-06-17,4490000,충청남도 천안시
역말육교,일반국도,1호,천안대로,충청남도 천안시 서북구 두정동 512,37.4331734,127.0919063,28,4,,4,4,1,,N,없음,,,,1993-01-01, ,양호,제한없음,,정기점검,2021-12-16,충청남도 천안시 서북구,2022-06-17,4490000,충청남도 천안시
공단육교,일반국도,1호,천안대로,충청남도 천안시 서북구 두정동 98-11,37.435554,127.0918396,28,4,,4,4,1,,N,없음,,,,1993-01-01, ,양호,제한없음,,정기점검,2021-12-16,충청남도 천안시 서북구,2022-06-17,4490000,충청남도 천안시
부성육교,일반국도,1호,천안대로,충청남도 천안시 서북구 부대1길 13-1,37.4440589,127.0918378,28,4,,4,4,1,,N,없음,,,,1993-01-01, ,양호,제한없음,,정기점검,2021-12-16,충청남도 천안시 서북구,2022-06-17,4490000,충청남도 천안시
공대육교,일반국도,1호,천안대로,충청남도 천안시 서북구 신당동 247-3,37.4459882,127.0931723,28,4,,4,4,1,,N,없음,,,,1993-01-01, ,양호,제한없음,,정기점검,2021-12-16,충청남도 천안시 서북구,2022-06-17,4490000,충청남도 천안시
성환육교,일반국도,1호,천안대로,충청남도 천안시 서북구 성환읍 성월리 96-3,37.4846884,127.0816943,28,4,,4,4,1,,N,없음,,,,1993-01-01, ,양호,제한없음,,정기점검,2021-12-16,충청남도 천안시 서북구,2022-06-17,4490000,충청남도 천안시
쌍용인도육교,기타,대로1-2호,서부대로,충청남도 천안시 서북구 서부대로 319-12,37.4142689,127.0742428,146,2,,2,6,1,,N,없음,,,,2000-01-01, ,양호,제한없음,,정기점검,2021-12-16,충청남도 천안시 서북구,2022-06-17,4490000,충청남도 천안시
